;Fenster;;;Fensterglas;;;Fensterrahmen;;
;min;max;average;min;max;average;min;max;average
1880;4;5;4,5;5;6;5,5;3;4;3,5
1900;4;5;4,5;5;6;5,5;3;4;3,5
1930;3,5;4,5;4;4;6;5;3;3;3
1952;3,5;4,5;4;4;6;5;3;3;3
1955;3;4,5;3,75;3;6;4,5;3;3;3
1961;3;4,5;3,75;3;6;4,5;3;3;3
1965;3;4,5;3,75;3;6;4,5;3;3;3
1972;3;4;3,5;3;5;4;3;3;3
1975;2,5;4;3,25;3;5;4;2;3;2,5
1980;3,5;3,5;3,5;5;4;4,5;2;3;2,5
1982;2,5;3,5;3;3;4;3,5;2;3;2,5
1988;2;3,5;2,75;2;4;3;2;3;2,5
1991;2;3;2,5;2;3;2,5;2;3;2,5
1997;1,55;2,5;2,025;1,7;3;2,35;1,4;2;1,7
2005;1,3;2;1,65;1,4;2;1,7;1,2;2;1,6
2010;1,1;2;1,55;1,2;2;1,6;1,0;2;1,5
2015;0,9;1,7;1,3;1;1,4;1,2;0,8;2;1,4
2020;0,9;1,7;1,3;1;1,4;1,2;0,8;2;1,4
2050;0,9;1,7;1,3;1;1,4;1,2;0,8;2;1,4