TABULA_ID;YEAR1;YEAR2;A_G_BRUTTO;A_FL1;A_FL2;A_FL;U_FL1;U_FL2;U_FL_AVG;A_W1;A_W2;A_W3;A_W;U_W1;U_W2;U_W3;U_W_AVG;A_R1;A_R2;A_R;A_R1_NETTO;A_R2_NETTO;A_R_NETTO;U_R1;U_R2;U_R_AVG;ANG_R_AVG;SLOPING_R;PERC_TOP_USED;H_TOP;R_ADD_R;U_R_AVG_PROJ2;U_R_AVG_PROJ;A_C_Ref;N_FL_CALC;N_FL;A_WIN1;A_WIN2;A_FL;U_WIN1;U_WIN2;U_WIN_AVG
DE.N.AB.02.Gen;0;1918;192,59;163,70;0,00;163,70;1,20;1,20;1,20;305,40;0,00;0,00;305,40;1,70;1,70;1,70;1,70;231,80;0,00;231,80;219,05;0,00;219,05;1,30;1,00;1,30;0,75;1,34;0,07;11,86;0,62;0,72;0,97;829,40;5,07;5,00;136,20;0,00;136,20;3,50;3,50;3,50
DE.N.AB.03.Gen;1919;1948;465,41;395,60;0,00;395,60;1,00;1,00;1,00;1.244,00;0,00;0,00;1.244,00;1,40;1,40;1,40;1,40;0,00;384,20;384,20;0,00;363,07;363,07;1,40;0,80;0,80;0,00;0,92;0,75;0,00;0,00;0,80;0,87;1.484,02;3,75;4,00;278,52;0,00;278,52;3,50;3,50;3,50
DE.N.AB.04.Gen;1949;1957;415,88;353,50;0,00;353,50;2,10;2,10;2,10;1.376,00;0,00;0,00;1.376,00;1,20;1,20;1,20;1,20;0,00;353,50;353,50;0,00;334,06;334,06;0,80;1,60;1,60;0,00;0,95;0,53;0,00;0,00;1,60;1,69;1.602,70;4,53;4,00;294,90;0,00;294,90;3,50;3,50;3,50
DE.N.AB.05.Gen;1958;1968;540,28;459,24;0,00;459,24;1,60;1,60;1,60;3.247,79;0,00;0,00;3.247,79;1,20;1,20;1,20;1,20;0,00;479,58;479,58;0,00;453,20;453,20;0,80;0,60;0,60;0,00;0,99;0,46;0,00;0,00;0,60;0,61;3.887,40;8,46;8,00;687,03;0,00;687,03;3,50;3,50;3,50
DE.N.AB.05.HR;1958;1968;888,09;485,36;269,52;754,88;1,60;1,60;1,60;6.949,14;0,00;0,00;6.949,14;1,20;1,20;1,20;1,20;0,00;501,19;501,19;0,00;473,62;473,62;0,80;0,60;0,60;0,00;0,63;0,17;0,00;0,00;0,60;0,96;11.448,80;15,17;15,00;1.947,19;0,00;1.947,19;3,50;3,50;3,50
DE.N.AB.06.Gen;1969;1978;635,29;540,00;0,00;540,00;1,00;1,00;1,00;2.130,00;0,00;0,00;2.130,00;1,10;1,10;1,10;1,10;0,00;540,00;540,00;0,00;510,30;510,30;0,50;0,60;0,60;0,00;0,95;0,15;0,00;0,00;0,60;0,63;3.322,00;6,15;6,00;545,00;0,00;545,00;3,50;3,50;3,50
DE.N.AB.06.HR;1969;1978;1.728,20;1.468,97;0,00;1.468,97;1,00;1,00;1,00;14.623,40;0,00;0,00;14.623,40;1,10;1,10;1,10;1,10;0,00;1.468,97;1.468,97;0,00;1.388,18;1.388,18;0,50;0,60;0,60;0,00;0,95;0,49;0,00;0,00;0,60;0,63;19.813,20;13,49;13,00;2.580,52;0,00;2.580,52;3,50;3,50;3,50
DE.East.AB.06.Gen;1969;1978;703,93;598,34;0,00;598,34;1,00;1,00;1,00;1.599,73;0,00;0,00;1.599,73;1,10;1,10;1,10;1,10;0,00;598,34;598,34;0,00;565,43;565,43;0,80;0,60;0,60;0,00;0,95;0,19;0,00;0,00;0,60;0,63;3.107,50;5,19;5,00;461,00;0,00;461,00;2,70;2,70;2,70
DE.East.AB.06.HR;1969;1978;703,93;598,34;0,00;598,34;1,00;1,00;1,00;2.992,09;0,00;0,00;2.992,09;1,10;1,10;1,10;1,10;0,00;598,34;598,34;0,00;565,43;565,43;0,50;0,60;0,60;0,00;0,95;0,82;0,00;0,00;0,60;0,63;5.275,60;8,82;9,00;756,00;0,00;756,00;2,70;2,70;2,70
DE.East.AB.07.Gen;1979;1983;703,93;598,34;0,00;598,34;0,80;0,80;0,80;1.673,73;0,00;0,00;1.673,73;0,90;0,90;0,90;0,90;0,00;598,34;598,34;0,00;565,43;565,43;0,50;0,50;0,50;0,00;0,95;0,19;0,00;0,00;0,50;0,53;3.107,50;5,19;5,00;387,00;0,00;387,00;2,70;2,70;2,70
DE.East.AB.07.HR;1979;1983;817,79;695,12;0,00;695,12;0,80;0,80;0,80;4.221,74;0,00;0,00;4.221,74;0,90;0,90;0,90;0,90;0,00;695,12;695,12;0,00;656,89;656,89;0,50;0,50;0,50;0,00;0,95;0,50;0,00;0,00;0,50;0,53;7.997,00;11,50;11,00;1.471,06;0,00;1.471,06;3,50;3,50;3,50
DE.East.AB.08.Gen;1984;1994;703,93;598,34;0,00;598,34;0,60;0,60;0,60;1.673,73;0,00;0,00;1.673,73;0,60;0,60;0,60;0,60;0,00;598,34;598,34;0,00;565,43;565,43;0,40;0,40;0,40;0,00;0,95;0,19;0,00;0,00;0,40;0,42;3.107,50;5,19;5,00;387,00;0,00;387,00;3,50;3,50;3,50
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;