YEAR;A_WIN_E_BY_AW;A_WIN_S_BY_AW;A_WIN_W_BY_AW;A_WIN_N_BY_AW;A_WIN_BY_AW
1840;0,00;0,11;0,00;0,14;0,24
1842;0,00;0,11;0,00;0,14;0,24
1844;0,00;0,11;0,00;0,14;0,24
1846;0,00;0,11;0,00;0,14;0,24
1848;0,00;0,11;0,00;0,14;0,24
1850;0,00;0,11;0,00;0,14;0,24
1852;0,00;0,11;0,00;0,14;0,24
1854;0,00;0,11;0,00;0,14;0,24
1856;0,00;0,11;0,00;0,14;0,24
1858;0,00;0,11;0,00;0,14;0,24
1860;0,00;0,11;0,00;0,14;0,24
1862;0,00;0,11;0,00;0,14;0,24
1864;0,00;0,11;0,00;0,14;0,24
1866;0,00;0,11;0,00;0,14;0,24
1868;0,00;0,11;0,00;0,14;0,24
1870;0,00;0,11;0,00;0,14;0,24
1872;0,00;0,11;0,00;0,14;0,24
1874;0,00;0,11;0,00;0,14;0,24
1876;0,00;0,11;0,00;0,14;0,24
1878;0,00;0,11;0,00;0,14;0,24
1880;0,00;0,11;0,00;0,14;0,24
1882;0,00;0,11;0,00;0,14;0,24
1884;0,00;0,11;0,00;0,14;0,24
1886;0,00;0,11;0,00;0,14;0,24
1888;0,00;0,11;0,00;0,14;0,24
1890;0,00;0,11;0,00;0,14;0,24
1892;0,00;0,11;0,00;0,14;0,24
1894;0,00;0,11;0,00;0,14;0,24
1896;0,00;0,11;0,00;0,14;0,24
1898;0,00;0,11;0,00;0,14;0,24
1900;0,00;0,11;0,00;0,14;0,24
1902;0,00;0,11;0,00;0,14;0,24
1904;0,00;0,11;0,00;0,14;0,24
1906;0,00;0,11;0,00;0,14;0,24
1908;0,00;0,11;0,00;0,14;0,24
1910;0,00;0,11;0,00;0,14;0,24
1912;0,00;0,11;0,00;0,14;0,24
1914;0,00;0,11;0,00;0,14;0,24
1916;0,00;0,11;0,00;0,14;0,24
1918;0,00;0,11;0,00;0,14;0,24
1920;0,00;0,21;0,00;0,12;0,33
1922;0,00;0,21;0,00;0,12;0,33
1924;0,00;0,21;0,00;0,12;0,33
1926;0,00;0,21;0,00;0,12;0,33
1928;0,00;0,21;0,00;0,12;0,33
1930;0,00;0,21;0,00;0,12;0,33
1932;0,00;0,21;0,00;0,12;0,33
1934;0,00;0,21;0,00;0,12;0,33
1936;0,00;0,21;0,00;0,12;0,33
1938;0,00;0,21;0,00;0,12;0,33
1940;0,00;0,21;0,00;0,12;0,33
1942;0,00;0,21;0,00;0,12;0,33
1944;0,00;0,21;0,00;0,12;0,33
1946;0,00;0,21;0,00;0,12;0,33
1948;0,00;0,21;0,00;0,12;0,33
1950;0,00;0,19;0,00;0,16;0,35
1952;0,00;0,19;0,00;0,16;0,35
1954;0,00;0,19;0,00;0,16;0,35
1956;0,00;0,19;0,00;0,16;0,35
1958;0,00;0,20;0,00;0,13;0,33
1960;0,00;0,20;0,00;0,13;0,33
1962;0,00;0,20;0,00;0,13;0,33
1964;0,00;0,20;0,00;0,13;0,33
1966;0,00;0,20;0,00;0,13;0,33
1968;0,00;0,20;0,00;0,13;0,33
1970;0,22;0,00;0,22;0,00;0,43
1972;0,22;0,00;0,22;0,00;0,43
1974;0,22;0,00;0,22;0,00;0,43
1976;0,22;0,00;0,22;0,00;0,43
1978;0,22;0,00;0,22;0,00;0,43
1980;0,00;0,22;0,00;0,15;0,37
1982;0,00;0,22;0,00;0,15;0,37
1984;0,18;0,00;0,18;0,00;0,37
1986;0,18;0,00;0,18;0,00;0,37
1988;0,18;0,00;0,18;0,00;0,37
1990;0,18;0,00;0,18;0,00;0,37
1992;0,18;0,00;0,18;0,00;0,37
1994;0,18;0,00;0,18;0,00;0,37
1996;0,00;0,31;0,00;0,07;0,38
1998;0,00;0,31;0,00;0,07;0,38
2000;0,00;0,31;0,00;0,07;0,38
2002;0,05;0,14;0,05;0,02;0,26
2004;0,05;0,14;0,05;0,02;0,26
2006;0,05;0,14;0,05;0,02;0,26
2008;0,05;0,14;0,05;0,02;0,26
2010;0,05;0,14;0,05;0,02;0,26
2012;0,05;0,14;0,05;0,02;0,26
2014;0,05;0,14;0,05;0,02;0,26
2016;0,05;0,14;0,05;0,02;0,26
2018;0,05;0,14;0,05;0,02;0,26
2020;0,05;0,14;0,05;0,02;0,26
2022;0,05;0,14;0,05;0,02;0,26
2024;0,05;0,14;0,05;0,02;0,26
2026;0,05;0,14;0,05;0,02;0,26
2028;0,05;0,14;0,05;0,02;0,26
2030;0,05;0,14;0,05;0,02;0,26
2032;0,05;0,14;0,05;0,02;0,26
2034;0,05;0,14;0,05;0,02;0,26
2036;0,05;0,14;0,05;0,02;0,26
2038;0,05;0,14;0,05;0,02;0,26
2040;0,05;0,14;0,05;0,02;0,26
2042;0,05;0,14;0,05;0,02;0,26
2044;0,05;0,14;0,05;0,02;0,26
2046;0,05;0,14;0,05;0,02;0,26
2048;0,05;0,14;0,05;0,02;0,26
2050;0,05;0,14;0,05;0,02;0,26