Code_BuildingVariant;Remark_BuildingVariant_1;Remark_BuildingVariant_2;Date_Entry;Date_Change;Code_StatusDataset;Code_Country;Code_Building;Number_BuildingVariant;Description_BuildingVariant;Description_BuildingVariant_National;Code_BuildingType;Code_BuildingSizeClass;Code_ConstructionYearClass;Year1_Building;Year2_Building;A_C_Ref;delta_U_ThermalBridging;n_air_infiltration;A_Roof_1;A_Roof_2;A_Wall_1;A_Wall_2;A_Wall_3;A_Floor_1;A_Floor_2;A_Window_1;A_Window_2;A_Door_1;U_Roof_1;U_Roof_2;U_Wall_1;U_Wall_2;U_Wall_3;U_Floor_1;U_Floor_2;U_Window_1;U_Window_2;U_Door_1;d_Insulation_Roof_1;d_Insulation_Roof_2;d_Insulation_Wall_1;d_Insulation_Wall_2;d_Insulation_Wall_3;d_Insulation_Floor_1;d_Insulation_Floor_2;A_Window_Horizontal;A_Window_East;A_Window_South;A_Window_West;A_Window_North;R_Add_UnheatedSpace_Roof_1;R_Add_UnheatedSpace_Roof_2;R_Add_UnheatedSpace_Wall_1;R_Add_UnheatedSpace_Wall_2;R_Add_UnheatedSpace_Wall_3;R_Add_UnheatedSpace_Floor_1;R_Add_UnheatedSpace_Floor_2;b_Transmission_Roof_1;b_Transmission_Roof_2;b_Transmission_Wall_1;b_Transmission_Wall_2;b_Transmission_Wall_3;b_Transmission_Floor_1;b_Transmission_Floor_2;Code_Measure_Roof_1;Code_Measure_Roof_2;Code_Measure_Wall_1;Code_Measure_Wall_2;Code_Measure_Wall_3;Code_Measure_Floor_1;Code_Measure_Floor_2;Code_Measure_Window_1;Code_Measure_Window_2;Code_Measure_Door_1;R_Measure_Roof_1;R_Measure_Roof_2;R_Measure_Wall_1;R_Measure_Wall_2;R_Measure_Wall_3;R_Measure_Floor_1;R_Measure_Floor_2;R_Measure_Window_1;R_Measure_Window_2;R_Measure_Door_1;Code_MeasureType_Roof_1;Code_MeasureType_Roof_2;Code_MeasureType_Wall_1;Code_MeasureType_Wall_2;Code_MeasureType_Wall_3;Code_MeasureType_Floor_1;Code_MeasureType_Floor_2;Code_MeasureType_Window_1;Code_MeasureType_Window_2;Code_MeasureType_Door_1;Code_ClimateRegion;Name_ClimateRegion;HeatingDays;Theta_e;I_Sol_Hor;I_Sol_East;I_Sol_South;I_Sol_West;I_Sol_North;Code_BoundaryCond;theta_i;F_red_htr1;F_red_htr4;n_air_use;h_room;phi_int;g_gl_n;F_sh_hor;F_sh_vert;F_f;F_w;c_m;R_Before_Roof_1;R_Before_Roof_2;R_Before_Wall_1;R_Before_Wall_2;R_Before_Wall_3;R_Before_Floor_1;R_Before_Floor_2;R_Before_Window_1;R_Before_Window_2;R_Before_Door_1;U_Actual_Roof_1;U_Actual_Roof_2;U_Actual_Wall_1;U_Actual_Wall_2;U_Actual_Wall_3;U_Actual_Floor_1;U_Actual_Floor_2;U_Actual_Window_1;U_Actual_Window_2;U_Actual_Door_1;H_Transmission_Roof_1;H_Transmission_Roof_2;H_Transmission_Wall_1;H_Transmission_Wall_2;H_Transmission_Wall_3;H_Transmission_Floor_1;H_Transmission_Floor_2;H_Transmission_Window_1;H_Transmission_Window_2;H_Transmission_Door_1;H_Transmission_ThermalBridging;h_Transmission;h_Ventilation;Sum_DeltaT_for_HeatingDays;F_red_temp;q_ht_tr;q_ht_ve;q_ht;Q_Sol_Hor;Q_Sol_East;Q_Sol_South;Q_Sol_West;Q_Sol_North;q_sol;q_int;tau;a_H;gamma_h_gn;eta_h_gn;q_h_nd
;;;;;;;;used for different refurbishment variants: 1 = existing state / 2 = standard refurbishment / 3 = ambitious refurbishment;;;;;;;;mandatory / for transformation from other area types see DATAMINE evaluation;"standard values in W/(m_K):0        minimal0,05   low0,1     medium0,15   high(valid for thermal envelope based on external dimensions)";"standard values in 1/h:0,05   minimal0,1     low0,2     medium0,4     high";element type roof 1;element type roof 2;element type wall 1;element type wall 2;element type wall 3;element type floor 1;element type floor 2;element type window 1;element type window 2;element type door 1;element type roof 1;element type roof 2;element type wall 1;element type wall 2;element type wall 3;element type floor 1;element type floor 2;element type window 1;element type window 2;element type door 1;relevant in case of replacement by new measure;relevant in case of replacement by new measure;relevant in case of replacement by new measure;relevant in case of replacement by new measure;relevant in case of replacement by new measure;relevant in case of replacement by new measure;relevant in case of replacement by new measure;tilted below 30°, otherwise classified as vertical (see below);deviation from orientation: +/- 45°;deviation from orientation: +/- 45°;deviation from orientation: +/- 45°;deviation from orientation: +/- 45°;element type roof 1;element type roof 2;element type wall 1;element type wall 2;element type wall 3;element type floor 1;element type floor 2;element type roof 1;element type roof 2;element type wall 1;element type wall 2;element type wall 3;element type floor 1;element type floor 2;element type roof 1;element type roof 2;element type wall 1;element type wall 2;element type wall 3;element type floor 1;element type floor 2;element type window 1;element type window 2;element type door 1;element type roof 1;element type roof 2;element type wall 1;element type wall 2;element type wall 3;element type floor 1;element type floor 2;element type window 1;element type window 2;element type door 1;element type roof 1;element type roof 2;element type wall 1;element type wall 2;element type wall 3;element type floor 1;element type floor 2;element type window 1;element type window 2;element type door 1;;;;;;;;;;;;"h_tr = heat transfer coefficient by transmission, devided by A_C,ref; values between h_tr = 1 und h_tr = 4 are interpolated";"h_tr = heat transfer coefficient by transmission, devided by A_C,ref; values between h_tr = 1 und h_tr = 4 are interpolated";hygienical nessary air exchange rate by opening of windows, by ventilation systems, by parts of infiltration which are usable for necessary air exchange;the room height is used for the simplified calculation of the air volume;;average for both window types, considering refurbished state;;;;;;element type roof 1;element type roof 2;element type wall 1;element type wall 2;element type wall 3;element type floor 1;element type floor 2;element type window 1;element type window 2;element type door 1;element type roof 1;element type roof 2;element type wall 1;element type wall 2;element type wall 3;element type floor 1;element type floor 2;element type window 1;element type window 2;element type door 1;element type roof 1;element type roof 2;element type wall 1;element type wall 2;element type wall 3;element type floor 1;element type floor 2;element type window 1;element type window 2;element type door 1;supplemental heat loss due to thermal bridging;indicator for energy quality of building envelope (compactness + insulation);;;values of F_red_temp are given for h_tr = 1 und h_tr = 4, interpolation of values between;;;;Horizontal;East;South;West;North;;;relevant for seasonal method;;;;
;;;;;;;;;;;;;;;;m_;W/(m_K);1/h;m_;m_;m_;m_;m_;m_;m_;m_;m_;m_;W/(m_K);W/(m_K);W/(m_K);W/(m_K);W/(m_K);W/(m_K);W/(m_K);W/(m_K);W/(m_K);W/(m_K);m;m;m;m;m;m;m;m_;m_;m_;m_;m_;m_K/W;m_K/W;m_K/W;m_K/W;m_K/W;m_K/W;m_K/W;;;;;;;;;;;;;;;;;;m_K/W;m_K/W;m_K/W;m_K/W;m_K/W;m_K/W;m_K/W;m_K/W;m_K/W;m_K/W;;;;;;;;;;;;;d;°C;kWh/a;kWh/a;kWh/a;kWh/a;kWh/a;;°C;;;1/h;m;W/m_;;;;;;Wh/(m_K);m_K/W;m_K/W;m_K/W;m_K/W;m_K/W;m_K/W;m_K/W;m_K/W;m_K/W;m_K/W;W/(m_K);W/(m_K);W/(m_K);W/(m_K);W/(m_K);W/(m_K);W/(m_K);W/(m_K);W/(m_K);W/(m_K);W/K;W/K;W/K;W/K;W/K;W/K;W/K;W/K;W/K;W/K;W/K;W/(m_K);W/(m_K);kKh/a;;kWh/(m_a);kWh/(m_a);kWh/(m_a);kWh/a;kWh/a;kWh/a;kWh/a;kWh/a;kWh/(m_a);kWh/(m_a);h;;;;kWh/(m_a)
;;;;;Tab.Const.StatusDataset;Tab.Const.Country;Tab.Building;;;;Tab.Type.Building;;Tab.ConstrYearClass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tab.Building.Measure;Tab.Building.Measure;Tab.Building.Measure;Tab.Building.Measure;Tab.Building.Measure;Tab.Building.Measure;Tab.Building.Measure;Tab.Building.Measure;Tab.Building.Measure;Tab.Building.Measure;;;;;;;;;;;Tab.Const.MeasureType;Tab.Const.MeasureType;Tab.Const.MeasureType;Tab.Const.MeasureType;Tab.Const.MeasureType;Tab.Const.MeasureType;Tab.Const.MeasureType;Tab.Const.MeasureType;Tab.Const.MeasureType;Tab.Const.MeasureType;Tab.Climate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Text;Text;Date;Date;VarChar;VarChar;VarChar;Integer;Text;Text;VarChar;VarChar;VarChar;Integer;Integer;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;VarChar;VarChar;VarChar;VarChar;VarChar;VarChar;VarChar;VarChar;VarChar;VarChar;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;VarChar;VarChar;VarChar;VarChar;VarChar;VarChar;VarChar;VarChar;VarChar;VarChar;VarChar;VarChar;Real;Real;Real;Real;Real;Real;Real;VarChar;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real;Real
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE.N.AB.02.Gen.ReEx.001.001;;;2014-09-08;;Typology;DE;DE.N.AB.02.Gen.ReEx.001;1;;;DE.N.AB.02.Gen;AB;DE.02;0;1918;829,4;0,1;0,2;231,8;0;305,4;0;0;163,7;0;136,2;0;2;1,3;1;1,7;1,7;1,7;1,2;1,2;3,5;3,5;3;0;0;0;0;0;0;0;0;65,8;2,3;65,8;2,3;0;0;0;0;0;0,3;0;1;0;1;0;0;0,5;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,75;0,8;0,6;0,3;0,9;45;0,77;1;0,59;0,59;0,59;1,13;0,83;0,29;0,29;0,33;1,3;1;1,7;1,7;1,7;0,88;1,2;3,5;3,5;3;301,34;0;519,18;0;0;72,22;0;476,7;0;6;83,91;1,76;0,51;3463;0,92;135;39;174;0;5055;256;5055;104;13;16;20;1,46;0,164;0,94;147,54
DE.N.AB.03.Gen.ReEx.001.001;;;2014-09-08;;Typology;DE;DE.N.AB.03.Gen.ReEx.001;1;;;DE.N.AB.03.Gen;AB;DE.03;1919;1948;1484,021;0,1;0,2;0;384,2;1244;0;0;395,6;0;278,52;0;2;1,4;0,8;1,4;1,4;1,4;1;1;3,5;3,5;3;0;0;0;0;0;0;0;0;126,9;24,72;126,9;0;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,75;0,8;0,6;0,3;0,9;45;0,71;1,55;0,71;0,71;0,71;1,3;1;0,29;0,29;0,33;1,4;0,65;1,4;1,4;1,4;0,77;1;3,5;3,5;3;0;247,87;1741,6;0;0;152,15;0;974,82;0;6;230,43;2,26;0,51;3463;0,91;171;38;209;0;9750;2747;9750;0;15;16;16;1,34;0,148;0,93;180,09
DE.N.AB.04.Gen.ReEx.001.001;;;2014-09-08;;Typology;DE;DE.N.AB.04.Gen.ReEx.001;1;;;DE.N.AB.04.Gen;AB;DE.04;1949;1957;1602,7;0,1;0,2;0;353,5;1376;0;0;353,5;0;294,9;0;2;0,8;1,6;1,2;1,2;1,2;2,1;2,1;3,5;3,5;3;0,05;0,01;0;0;0;0;0;0;128,3;38,3;128,3;0;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,75;0,8;0,6;0,3;0,9;45;1,25;0,93;0,83;0,83;0,83;0,78;0,48;0,29;0,29;0,33;0,8;1,08;1,2;1,2;1,2;1,29;2,1;3,5;3,5;3;0;382,16;1651,2;0;0;227,71;0;1032,15;0;6;237,99;2,21;0,51;3463;0,91;167;39;205;0;9857;4256;9857;0;15;16;17;1,35;0,151;0,93;176,57
DE.N.AB.05.Gen.ReEx.001.001;;;2014-09-08;;Typology;DE;DE.N.AB.05.Gen.ReEx.001;1;;;DE.N.AB.05.Gen;AB;DE.05;1958;1968;3887,4;0,1;0,2;0;479,58;3247,79;0;0;459,24;0;687,03;0;2;0,8;0,6;1,2;1,2;1,2;1,6;1,6;3,5;3,5;3;0,05;0,05;0;0;0;0,01;0,01;0;323,065;26,59;323,065;14,31;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,75;0,8;0,6;0,3;0,9;45;1,25;1,97;0,83;0,83;0,83;0,93;0,63;0,29;0,29;0,33;0,8;0,51;1,2;1,2;1,2;1,08;1,6;3,5;3,5;3;0;243,85;3897,35;0;0;248,24;0;2404,61;0;6;487,56;1,87;0,51;3463;0,92;143;39;183;0;24821;2955;24821;649;14;16;19;1,43;0,163;0,94;154,71
DE.N.AB.05.HR.ReEx.001.001;;;2014-09-08;;Typology;DE;DE.N.AB.05.HR.ReEx.001;1;;;DE.N.AB.05.HR;AB;DE.05;1958;1968;11448,8;0,1;0,2;0;501,19;6949,14;0;0;485,36;269,52;1947,19;0;2;0,8;0,6;1,2;1,2;1,2;1,6;1,6;3,5;3,5;3;0,05;0,05;0;0;0;0,01;0,01;0;493,8;610,1;493,8;349,49;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0,5;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,75;0,8;0,6;0,3;0,9;45;1,25;1,97;0,83;0,83;0,83;0,93;0,63;0,29;0,29;0,33;0,8;0,51;1,2;1,2;1,2;1,08;1,6;3,5;3,5;3;0;254,84;8338,97;0;0;262,36;215,62;6815,17;0;6;1015,44;1,48;0,51;3463;0,93;115;40;154;0;37938;67802;37938;15853;14;16;23;1,55;0,194;0,94;126,25
DE.N.AB.06.Gen.ReEx.001.001;;;2014-09-08;;Typology;DE;DE.N.AB.06.Gen.ReEx.001;1;;;DE.N.AB.06.Gen;AB;DE.06;1969;1978;3322;0,1;0,2;0;540;2130;0;0;540;0;545;0;2;0,5;0,6;1,1;1,1;1,1;1;1;3,5;3,5;4;0,06;0,05;0;0;0;0,02;0,02;0;229;34;229;53;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,75;0,8;0,6;0,3;0,9;45;2;1,97;0,91;0,91;0,91;1,3;1;0,29;0,29;0,25;0,5;0,51;1,1;1,1;1,1;0,77;1;3,5;3,5;4;0;274,58;2343;0;0;207,69;0;1907,5;0;8;375,7;1,54;0,51;3463;0,93;119;40;159;0;17594;3778;17594;2404;12;16;22;1,53;0,179;0,94;132,08
DE.N.AB.06.HR.ReEx.001.001;;;2014-09-08;;Typology;DE;DE.N.AB.06.HR.ReEx.001;1;;;DE.N.AB.06.HR;AB;DE.06;1969;1978;19813,2;0,1;0,2;0;1468,97;14623,4;0;0;1468,97;0;2580,52;0;2;0,5;0,6;1,1;1,1;1,1;1;1;3,5;3,5;4;0,06;0,05;0;0;0;0,02;0,02;0;760,22;763,88;760,22;296,2;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,75;0,8;0,6;0,3;0,9;45;2;1,97;0,91;0,91;0,91;1,3;1;0,29;0,29;0,25;0,5;0,51;1,1;1,1;1,1;0,77;1;3,5;3,5;4;0;746,93;16085,74;0;0;564,99;0;9031,82;0;8;2014,39;1,44;0,51;3463;0,94;112;40;151;0;58407;84892;58407;13436;11;16;23;1,57;0,177;0,94;125,94
DE.East.AB.06.Gen.ReEx.001.001;;;2014-09-08;;Typology;DE;DE.East.AB.06.Gen.ReEx.001;1;;;DE.East.AB.06.Gen;AB;DE.06;1969;1978;3107,5;0,1;0,2;0;598,34;1599,73;0;0;598,34;0;461;0;2;0,8;0,6;1,1;1,1;1,1;1;1;2,7;2,7;4;0,05;0,05;0;0;0;0,02;0,02;0;0;278;0;183;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,75;0,8;0,6;0,3;0,9;45;1,25;1,97;0,91;0,91;0,91;1,3;1;0,37;0,37;0,25;0,8;0,51;1,1;1,1;1,1;0,77;1;2,7;2,7;4;0;304,24;1759,7;0;0;230,13;0;1244,7;0;8;325,94;1,25;0,51;3463;0,94;98;40;137;0;0;30895;0;8301;13;16;26;1,65;0,208;0,94;110,59
DE.East.AB.06.HR.ReEx.001.001;;;2014-09-08;;Typology;DE;DE.East.AB.06.HR.ReEx.001;1;;;DE.East.AB.06.HR;AB;DE.06;1969;1978;5275,6;0,1;0,2;0;598,3369;2992,09;0;0;598,3369;0;756;0;2;0,5;0,6;1,1;1,1;1,1;1;1;2,7;2,7;4;0,06;0,05;0;0;0;0,02;0,02;0;378;0;378;0;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,75;0,8;0,6;0,3;0,9;45;2;1,97;0,91;0,91;0,91;1,3;1;0,37;0,37;0,25;0,5;0,51;1,1;1,1;1,1;0,77;1;2,7;2,7;4;0;304,24;3291,3;0;0;230,13;0;2041,2;0;8;494,68;1,21;0,51;3463;0,94;95;40;135;0;29041;0;29041;0;11;16;26;1,67;0,201;0,94;109,11
DE.East.AB.07.Gen.ReEx.001.001;;;2014-09-08;;Typology;DE;DE.East.AB.07.Gen.ReEx.001;1;;;DE.East.AB.07.Gen;AB;DE.07;1979;1983;3107,5;0,1;0,2;0;598,34;1673,73;0;0;598,34;0;387;0;2;0,5;0,5;0,9;0,9;0,9;0,8;0,8;2,7;2,7;4;0,06;0,06;0;0;0;0,04;0,04;0;0;215;0;172;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,75;0,8;0,6;0,3;0,9;45;2;2,3;1,11;1,11;1,11;1,55;1,25;0,37;0,37;0,25;0,5;0,43;0,9;0,9;0,9;0,65;0,8;2,7;2,7;4;0;260,15;1506,36;0;0;193,01;0;1044,9;0;8;325,94;1,07;0,51;3463;0,95;85;40;125;0;0;23893;0;7802;10;16;28;1,75;0,21;0,95;99,96
DE.East.AB.07.HR.ReEx.001.001;;;2014-09-08;;Typology;DE;DE.East.AB.07.HR.ReEx.001;1;;;DE.East.AB.07.HR;AB;DE.07;1979;1983;7997;0,1;0,2;0;695,12;4221,74;0;0;695,12;0;1471,06;0;2;0,5;0,5;0,9;0,9;0,9;0,8;0,8;3,5;3,5;4;0,08;0,06;0;0;0;0,04;0,04;0;397,245;398,64;397,245;277,93;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,75;0,8;0,6;0,3;0,9;45;2;2,3;1,11;1,11;1,11;1,55;1,25;0,29;0,29;0,25;0,5;0,43;0,9;0,9;0,9;0,65;0,8;3,5;3,5;4;0;302,23;3799,57;0;0;224,23;0;5148,71;0;8;708,5;1,27;0,51;3463;0,94;100;40;140;0;30520;44302;30520;12607;15;16;25;1,64;0,22;0,93;110,85
DE.East.AB.08.Gen.ReEx.001.001;;;2014-09-08;;Typology;DE;DE.East.AB.08.Gen.ReEx.001;1;;;DE.East.AB.08.Gen;AB;DE.08;1984;1994;3107,5;0,1;0,2;0;598,34;1673,73;0;0;598,34;0;387;0;2;0,4;0,4;0,6;0,6;0,6;0,6;0,6;3,5;3,5;4;0,1;0,1;0;0;0;0,06;0,06;0;0;215;0;172;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,75;0,8;0,6;0,3;0,9;45;2,5;2,8;1,67;1,67;1,67;1,97;1,67;0,29;0,29;0,25;0,4;0,36;0,6;0,6;0,6;0,51;0,6;3,5;3,5;4;0;213,69;1004,24;0;0;152,12;0;1354,5;0;8;325,94;0,98;0,51;3463;0,95;78;40;118;0;0;23893;0;7802;10;16;30;1,8;0,222;0,95;93,17
DE.N.MFH.01.Gen.ReEx.001.001;;;2014-09-08;;Typology;DE;DE.N.MFH.01.Gen.ReEx.001;1;;;DE.N.MFH.01.Gen;MFH;DE.01;0;1859;677,4911;0,1;0,2;284,1;0;749,31;0;0;124,76;48,97;106,97;0;2;2,6;1;2;2;2;1,2;1,2;3,5;3,5;3;0;0;0;0;0;0;0;0;25,46;36,57;25,46;19,48;0;0;0;0;0;0,3;0;1;0;1;0;0;0,5;0,5;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,75;0,8;0,6;0,3;0,9;45;0,38;1;0,5;0,5;0,5;1,13;0,83;0,29;0,29;0,33;2,6;1;2;2;2;0,88;1,2;3,5;3,5;3;738,66;0;1498,62;0;0;55,04;29,38;374,4;0;6;131,61;4,18;0,51;3463;0,85;296;36;332;0;1956;4064;1956;884;13;16;10;1,12;0,088;0,94;304,22
DE.N.MFH.02.Gen.ReEx.001.001;;;2014-09-08;;Typology;DE;DE.N.MFH.02.Gen.ReEx.001;1;;;DE.N.MFH.02.Gen;MFH;DE.02;1860;1918;312,4;0,1;0,2;102,8;0;146;0;0;102,8;0;54,08;0;2;1,3;1;2,2;2,2;2,2;1,2;1,2;2,7;2,7;3;0;0;0;0;0;0;0;0;26,395;0;26,395;1,29;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,75;0,8;0,6;0,3;0,9;45;0,77;1,3;0,45;0,45;0,45;1,13;0,83;0,37;0,37;0,33;1,3;0,77;2,2;2,2;2,2;0,88;1,2;2,7;2,7;3;133,64;0;321,2;0;0;45,35;0;146,02;0;6;40,77;2,22;0,51;3463;0,91;168;39;206;0;2028;0;2028;59;13;16;16;1,35;0,141;0,94;178,87
DE.N.MFH.03.Gen.ReEx.001.001;;;2014-09-08;;Typology;DE;DE.N.MFH.03.Gen.ReEx.001;1;;;DE.N.MFH.03.Gen;MFH;DE.03;1919;1948;385;0,1;0,2;158,5;31,1;323,54;0;0;127,4;31,1;71,16;0;2;1,4;0,8;1,7;1,7;1,7;1;1;3,5;3,5;3;0;0;0;0;0;0;0;0;9,5;33,66;9,5;18,5;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0,5;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,75;0,8;0,6;0,3;0,9;45;0,71;1,55;0,59;0,59;0,59;1,3;1;0,29;0,29;0,33;1,4;0,65;1,7;1,7;1,7;0,77;1;3,5;3,5;3;221,9;20,06;550,02;0;0;49;15,55;249,06;0;6;74,48;3,08;0,51;3463;0,88;225;37;263;0;730;3741;730;839;16;16;13;1,22;0,121;0,93;233,29
DE.N.MFH.04.Gen.ReEx.001.001;;;2014-09-08;;Typology;DE;DE.N.MFH.04.Gen.ReEx.001;1;;;DE.N.MFH.04.Gen;MFH;DE.04;1949;1957;632,28;0,1;0,2;0;355;462;0;0;355;0;98,72;0;2;1,4;1,6;1,2;1,2;1,2;2,2;2,2;3,5;3,5;3;0;0,01;0;0;0;0;0;0;45,58;3,78;45,58;3,78;0;0,3;0;0;0;0,3;0;0;1;1;0;0;0,5;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,75;0,8;0,6;0,3;0,9;45;0,71;0,93;0,83;0,83;0,83;0,75;0,45;0,29;0,29;0,33;1,4;1,08;1,2;1,2;1,2;1,33;2,2;3,5;3,5;3;0;383,78;554,4;0;0;235,24;0;345,52;0;6;127,27;2,61;0,51;3463;0,9;195;38;233;0;3502;420;3502;171;12;16;14;1,28;0,12;0,94;206,3
DE.East.MFH.04.Gen.ReEx.001.001;;;2014-09-08;;Typology;DE;DE.East.MFH.04.Gen.ReEx.001;1;;;DE.East.MFH.04.Gen;MFH;DE.04;1949;1957;1928,3;0,1;0,2;0;558,714;1158,16;0;0;558,714;0;319,9;0;2;1,4;1,6;1,2;1,2;1,2;2,2;2,2;3,5;3,5;3;0;0,01;0;0;0;0;0;0;0;150,3;0;169,6;0;0,3;0;0;0;0,3;0;1;1;1;0;0;0,5;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;DE.N;Germany;222;4,4;403;271;392;271;160;EU.MUH;20;0,95;0,85;0,4;2,5;3;0,75;0,8;0,6;0,3;0,9;45;0,71;0,93;0,83;0,83;0,83;0,75;0,45;0,29;0,29;0,33;1,4;1,08;1,2;1,2;1,2;1,33;2,2;3,5;3,5;3;0;604,02;1389,79;0;0;370,23;0;1119,65;0;6;259,75;1,94;0,51;3463;0,92;148;39;187;0;0;16703;0;7693;13;16;18;1,41;0,153;0,94;160,48
