;EFH-A;EFH-B;EFH-C;EFH-D;EFH-E;EFH-F;EFH-FF;EFH-G;EFH-G
Länge;12;12;14,5;10;16,5;15,5;10;10;10
Breite;9,5;8;10;7,9;11;10,5;8,3;8,3;7,5
Vollgeschosse;2;2;2;1;1;1;1;1,5;2
Baujahr;vor 1918;vor 1919;1919-1948;1949-1957;1958-1968;1969-1978 ;1969-1978 ;1979-1983;1984-1994
Ausgebautes Dach;0,5;0,2;0,2;0,5;0,5;0;0,1;1;1
Keller;0;1;1;1;1;1;1;1;1
;;;;;;;;;
Höhe;8,1;9;9;6;6;3;6;7,5;9
Grundfläche;114;96;145;79;181,5;162,75;83;83;75
Volumen;923;864;1595;632;1452;814;664;789;825
;;;;;;;;;
HWB pro m3 nach Alter;54;52;42;30;29;29;34;34;34
GF/V Kubisch;1,0965;1,0287;1,0306;1,0357;1,1897;1,3665;1,0443;0,9861;0,9234
HWB pro m3;49;51;41;29;24;21;33;34;37
HWB Gesamt;45.477;43.674;65.000;18.306;35.393;17.270;21.619;27.186;30.378
Wohnfläche;242;180;271;101;231;138;78;176;191
HWB pro m2 Wohnfläche;188;243;240;182;153;125;279;154;159
Sollwert;210;250;194;223;166;182;120;120;140
;-22;-7;46;-41;-13;-57;159;34;19
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;