Year;QGround ;QGround ;QWall ;QWall;QRoof;QRoof ;QRoof (Vert);QRoof (Vert);QHeat Deman;QHeat Deman
1900;79,53;79,53;110,55;110,55;171,60;171,60;175,20;175,20;601,23;601,23
1901;79,53;79,53;110,55;110,55;171,60;171,60;175,20;175,20;601,23;601,23
1902;79,53;79,53;110,55;110,55;171,60;171,60;175,20;175,20;601,23;601,23
1903;79,53;79,53;110,55;110,55;171,60;171,60;175,20;175,20;601,23;601,23
1904;79,53;79,53;110,55;110,55;171,60;171,60;175,20;175,20;601,23;601,23
1905;79,53;79,53;110,55;110,55;171,60;171,60;175,20;175,20;601,23;601,23
1906;79,53;79,53;110,55;110,55;171,60;171,60;175,20;175,20;601,23;601,23
1907;79,53;79,53;110,55;110,55;171,60;171,60;175,20;175,20;601,23;601,23
1908;79,53;79,53;110,55;110,55;171,60;171,60;175,20;175,20;601,23;601,23
1909;79,53;79,53;110,55;110,55;171,60;171,60;175,20;175,20;601,23;601,23
1910;79,53;79,53;110,55;110,55;171,60;171,60;175,20;175,20;601,23;601,23
1911;79,53;79,53;110,55;110,55;171,60;171,60;175,20;175,20;601,23;601,23
1912;79,53;79,53;110,55;110,55;171,60;171,60;175,20;175,20;601,23;601,23
1913;79,53;79,53;110,55;110,55;171,60;171,60;175,20;175,20;601,23;601,23
1914;79,53;79,53;110,55;110,55;171,60;171,60;175,20;175,20;601,23;601,23
1915;79,53;79,53;110,55;110,55;171,60;171,60;175,20;175,20;601,23;601,23
1916;79,53;79,53;110,55;110,55;171,60;171,60;175,20;175,20;601,23;601,23
1917;79,53;78,83;110,55;110,29;171,60;162,87;175,20;167,83;601,23;602,77
1918;79,53;77,44;110,55;109,78;171,60;145,42;175,20;153,09;601,23;605,85
1919;73,26;75,35;108,24;109,01;93,06;119,24;108,87;130,98;615,09;610,47
1920;73,26;73,96;108,24;108,50;93,06;101,79;108,87;116,24;615,09;613,55
1921;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1922;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1923;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1924;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1925;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1926;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1927;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1928;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1929;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1930;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1931;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1932;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1933;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1934;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1935;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1936;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1937;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1938;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1939;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1940;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1941;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1942;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1943;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1944;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1945;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1946;73,26;73,26;108,24;108,24;93,06;93,06;108,87;108,87;615,09;615,09
1947;73,26;74,87;108,24;105,93;93,06;91,19;108,87;106,12;615,09;600,28
1948;73,26;78,10;108,24;101,31;93,06;87,45;108,87;100,62;615,09;570,65
1949;87,78;82,94;87,45;94,38;76,23;81,84;84,13;92,38;481,78;526,22
1950;87,78;86,17;87,45;89,76;76,23;78,10;84,13;86,88;481,78;496,59
1951;87,78;87,78;87,45;87,45;76,23;76,23;84,13;84,13;481,78;481,78
1952;87,78;87,78;87,45;87,45;76,23;76,23;84,13;84,13;481,78;481,78
1953;87,78;87,78;87,45;87,45;76,23;76,23;84,13;84,13;481,78;481,78
1954;87,78;87,78;87,45;87,45;76,23;76,23;84,13;84,13;481,78;481,78
1955;87,78;87,78;87,45;87,45;76,23;76,23;84,13;84,13;481,78;481,78
1956;87,78;85,29;87,45;87,45;76,23;80,37;84,13;87,39;481,78;477,49
1957;87,78;80,30;87,45;87,45;76,23;88,66;84,13;93,93;481,78;468,92
1958;65,34;72,82;87,45;87,45;113,52;101,09;113,52;103,72;443,19;456,05
1959;65,34;67,83;87,45;87,45;113,52;109,38;113,52;110,25;443,19;447,48
1960;65,34;65,34;87,45;87,45;113,52;113,52;113,52;113,52;443,19;443,19
1961;65,34;65,34;87,45;87,45;113,52;113,52;113,52;113,52;443,19;443,19
1962;65,34;65,34;87,45;87,45;113,52;113,52;113,52;113,52;443,19;443,19
1963;65,34;65,34;87,45;87,45;113,52;113,52;113,52;113,52;443,19;443,19
1964;65,34;65,34;87,45;87,45;113,52;113,52;113,52;113,52;443,19;443,19
1965;65,34;65,34;87,45;87,45;113,52;113,52;113,52;113,52;443,19;443,19
1966;65,34;65,34;87,45;87,45;113,52;113,52;113,52;113,52;443,19;443,19
1967;65,34;65,19;87,45;83,16;113,52;105,23;113,52;105,23;443,19;427,09
1968;65,34;64,90;87,45;74,58;113,52;88,66;113,52;88,66;443,19;394,90
1969;64,02;64,46;48,84;61,71;38,94;63,80;38,94;63,80;298,32;346,61
1970;64,02;64,17;48,84;53,13;38,94;47,23;38,94;47,23;298,32;314,42
1971;64,02;64,02;48,84;48,84;38,94;38,94;38,94;38,94;298,32;298,32
1972;64,02;64,02;48,84;48,84;38,94;38,94;38,94;38,94;298,32;298,32
1973;64,02;64,02;48,84;48,84;38,94;38,94;38,94;38,94;298,32;298,32
1974;64,02;64,02;48,84;48,84;38,94;38,94;38,94;38,94;298,32;298,32
1975;64,02;64,02;48,84;48,84;38,94;38,94;38,94;38,94;298,32;298,32
1976;64,02;64,02;48,84;48,84;38,94;38,94;38,94;38,94;298,32;298,32
1977;64,02;61,82;48,84;49,28;38,94;37,84;38,94;37,84;298,32;296,78
1978;64,02;57,42;48,84;50,16;38,94;35,64;38,94;35,64;298,32;293,70
1979;44,22;50,82;52,80;51,48;29,04;32,34;29,04;32,34;284,46;289,08
1980;44,22;46,42;52,80;52,36;29,04;30,14;29,04;30,14;284,46;286,00
1981;44,22;44,22;52,80;52,80;29,04;29,04;29,04;29,04;284,46;284,46
1982;44,22;43,34;52,80;51,77;29,04;28,01;29,04;28,01;284,46;278,45
1983;44,22;41,58;52,80;49,72;29,04;25,96;29,04;25,96;284,46;266,42
1984;36,30;38,94;43,56;46,64;19,80;22,88;19,80;22,88;230,34;248,38
1985;36,30;37,18;43,56;44,59;19,80;20,83;19,80;20,83;230,34;236,35
1986;36,30;36,30;43,56;43,56;19,80;19,80;19,80;19,80;230,34;230,34
1987;36,30;36,30;43,56;43,56;19,80;19,80;19,80;19,80;230,34;230,34
1988;36,30;36,30;43,56;43,56;19,80;19,80;19,80;19,80;230,34;230,34
1989;36,30;36,30;43,56;43,56;19,80;19,80;19,80;19,80;230,34;230,34
1990;36,30;36,30;43,56;43,56;19,80;19,80;19,80;19,80;230,34;230,34
1991;36,30;36,30;43,56;43,56;19,80;19,80;19,80;19,80;230,34;230,34
1992;36,30;36,30;43,56;43,56;19,80;19,80;19,80;19,80;230,34;230,34
1993;36,30;34,76;43,56;40,77;19,80;19,14;19,80;19,14;230,34;214,94
1994;36,30;31,68;43,56;35,20;19,80;17,82;19,80;17,82;230,34;184,14
1995;22,44;27,06;18,48;26,84;13,86;15,84;13,86;15,84;91,74;137,94
1996;22,44;23,98;18,48;21,27;13,86;14,52;13,86;14,52;91,74;107,14
1997;22,44;22,44;18,48;18,48;13,86;13,86;13,86;13,86;91,74;91,74
1998;22,44;22,44;18,48;18,48;13,86;13,86;13,86;13,86;91,74;91,74
1999;22,44;22,44;18,48;18,48;13,86;13,86;13,86;13,86;91,74;91,74
2000;22,44;22,44;18,48;18,99;13,86;13,93;13,86;14,53;91,74;91,38
2001;22,44;22,44;18,48;20,02;13,86;14,08;13,86;15,87;91,74;90,67
2002;22,44;22,44;23,10;21,56;14,52;14,30;19,89;17,88;88,53;89,60
2003;22,44;22,44;23,10;22,59;14,52;14,45;19,89;19,22;88,53;88,89
2004;22,44;22,44;23,10;23,10;14,52;14,52;19,89;19,89;88,53;88,53
2005;22,44;22,44;23,10;23,10;14,52;14,52;19,89;19,89;88,53;88,53
2006;22,44;22,44;23,10;23,10;14,52;14,52;19,89;19,89;88,53;88,53
2007;22,44;22,44;23,10;23,10;14,52;14,52;19,89;19,89;88,53;88,53
2008;22,44;22,44;23,10;23,10;14,52;14,52;19,89;19,89;88,53;88,53
2009;22,44;22,44;23,10;23,10;14,52;14,52;19,89;19,89;88,53;88,53
2010;22,44;22,44;23,10;23,10;14,52;14,52;19,89;19,89;88,53;88,53
2011;22,44;22,44;23,10;23,10;14,52;14,52;19,89;19,89;88,53;88,53
2012;22,44;22,44;23,10;23,10;14,52;14,52;19,89;19,89;88,53;88,53
2013;22,44;22,44;23,10;23,10;14,52;14,52;19,89;19,89;88,53;88,53
2014;22,44;22,44;23,10;23,10;14,52;14,52;19,89;19,89;88,53;88,53
2015;22,44;22,44;23,10;23,10;14,52;14,52;19,89;19,89;88,53;88,53
Mittel;59,91;59,91;75,70;75,70;77,93;77,93;83,87;83,87;413,00;413,00