Year;EFH;RH;MFH ;GMH;Urb AVG;"SubUrb AVG
";Rur AVG;Total AVG
1900;118,80;112,20;110,55;95,70;103,62;112,70;117,40;109,31
1901;118,80;112,20;110,55;95,70;103,62;112,70;117,40;109,31
1902;118,80;112,20;110,55;95,70;103,62;112,70;117,40;109,31
1903;118,80;112,20;110,55;95,70;103,62;112,70;117,40;109,31
1904;118,80;112,20;110,55;95,70;103,62;112,70;117,40;109,31
1905;118,80;112,20;110,55;95,70;103,62;112,70;117,40;109,31
1906;118,80;112,20;110,55;95,70;103,62;112,70;117,40;109,31
1907;118,80;112,20;110,55;95,70;103,62;112,70;117,40;109,31
1908;118,80;112,20;110,55;95,70;103,62;112,70;117,40;109,31
1909;118,80;112,20;110,55;95,70;103,62;112,70;117,40;109,31
1910;118,80;112,20;110,55;95,70;103,62;112,70;117,40;109,31
1911;118,80;112,20;110,55;95,70;103,62;112,70;117,40;109,31
1912;118,80;112,20;110,55;95,70;103,62;112,70;117,40;109,31
1913;118,80;112,20;110,55;95,70;103,62;112,70;117,40;109,31
1914;118,80;112,20;110,55;95,70;103,62;112,70;117,40;109,31
1915;118,80;112,20;110,55;95,70;103,62;112,70;117,40;109,31
1916;118,80;112,20;110,55;95,70;103,62;112,70;117,40;109,31
1917;118,07;109,93;110,29;95,70;103,37;111,80;116,46;108,50
1918;116,60;105,38;109,78;95,70;102,86;110,02;114,58;106,87
1919;114,40;98,56;109,01;95,70;102,10;107,35;111,75;104,42
1920;112,93;94,01;108,50;95,70;101,60;105,57;109,87;102,79
1921;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1922;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1923;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1924;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1925;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1926;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1927;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1928;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1929;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1930;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1931;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1932;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1933;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1934;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1935;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1936;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1937;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1938;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1939;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1940;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1941;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1942;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1943;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1944;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1945;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1946;112,20;91,74;108,24;95,70;101,34;104,68;108,93;101,97
1947;108,53;87,85;105,93;93,94;99,16;101,59;105,30;99,06
1948;101,20;80,08;101,31;90,42;94,80;95,43;98,04;93,25
1949;90,20;68,42;94,38;85,14;88,25;86,17;87,14;84,54
1950;82,87;60,65;89,76;81,62;83,89;80,01;79,88;78,72
1951;79,20;56,76;87,45;79,86;81,71;76,92;76,25;75,82
1952;79,20;56,76;87,45;79,86;81,71;76,92;76,25;75,82
1953;79,20;56,76;87,45;79,86;81,71;76,92;76,25;75,82
1954;79,20;56,76;87,45;79,86;81,71;76,92;76,25;75,82
1955;79,20;56,76;87,45;79,86;81,71;76,92;76,25;75,82
1956;80,96;61,01;87,45;79,82;81,99;78,51;78,29;77,31
1957;84,48;69,52;87,45;79,75;82,56;81,69;82,38;80,30
1958;89,76;82,28;87,45;79,64;83,40;86,46;88,52;84,78
1959;93,28;90,79;87,45;79,57;83,97;89,64;92,61;87,77
1960;95,04;95,04;87,45;79,53;84,25;91,23;94,66;89,27
1961;95,04;95,04;87,45;79,53;84,25;91,23;94,66;89,27
1962;95,04;95,04;87,45;79,53;84,25;91,23;94,66;89,27
1963;95,04;95,04;87,45;79,53;84,25;91,23;94,66;89,27
1964;95,04;95,04;87,45;79,53;84,25;91,23;94,66;89,27
1965;95,04;95,04;87,45;79,53;84,25;91,23;94,66;89,27
1966;95,04;95,04;87,45;79,53;84,25;91,23;94,66;89,27
1967;90,38;90,35;83,16;78,30;81,45;86,88;90,02;85,55
1968;81,07;80,96;74,58;75,85;75,86;78,19;80,73;78,11
1969;67,10;66,88;61,71;72,16;67,46;65,14;66,80;66,96
1970;57,79;57,49;53,13;69,70;61,87;56,45;57,51;59,53
1971;53,13;52,80;48,84;68,48;59,07;52,10;52,87;55,81
1972;53,13;52,80;48,84;68,48;59,07;52,10;52,87;55,81
1973;53,13;52,80;48,84;68,48;59,07;52,10;52,87;55,81
1974;53,13;52,80;48,84;68,48;59,07;52,10;52,87;55,81
1975;53,13;52,80;48,84;68,48;59,07;52,10;52,87;55,81
1976;53,13;52,80;48,84;68,48;59,07;52,10;52,87;55,81
1977;53,09;51,92;49,28;67,72;58,82;52,01;52,73;55,50
1978;53,02;50,16;50,16;66,22;58,33;51,82;52,45;54,89
1979;52,91;47,52;51,48;63,97;57,60;51,54;52,03;53,97
1980;52,84;45,76;52,36;62,46;57,10;51,36;51,75;53,35
1981;52,80;44,88;52,80;61,71;56,86;51,27;51,61;53,05
1982;51,92;45,54;51,77;60,43;55,80;50,69;50,96;52,42
1983;50,16;46,86;49,72;57,86;53,67;49,54;49,64;51,15
1984;47,52;48,84;46,64;54,01;50,48;47,82;47,67;49,25
1985;45,76;50,16;44,59;51,44;48,35;46,67;46,36;47,99
1986;44,88;50,82;43,56;50,16;47,29;46,10;45,71;47,36
1987;44,88;50,82;43,56;50,16;47,29;46,10;45,71;47,36
1988;44,88;50,82;43,56;50,16;47,29;46,10;45,71;47,36
1989;44,88;50,82;43,56;50,16;47,29;46,10;45,71;47,36
1990;44,88;50,82;43,56;50,16;47,29;46,10;45,71;47,36
1991;44,88;50,82;43,56;50,16;47,29;46,10;45,71;47,36
1992;44,88;50,82;43,56;50,16;47,29;46,10;45,71;47,36
1993;43,93;48,77;40,77;50,16;46,02;44,19;44,50;45,91
1994;42,02;44,66;35,20;50,16;43,49;40,36;42,08;43,01
1995;39,16;38,50;26,84;50,16;39,70;34,62;38,45;38,67
1996;37,25;34,39;21,27;50,16;37,17;30,79;36,03;35,77
1997;36,30;32,34;18,48;50,16;35,90;28,88;34,82;34,32
1998;36,30;32,34;18,48;50,16;35,90;28,88;34,82;34,32
1999;36,30;32,34;18,48;50,16;35,90;28,88;34,82;34,32
2000;34,83;30,51;18,99;50,16;35,94;28,18;33,39;33,62
2001;31,90;26,84;20,02;50,16;36,03;26,80;30,55;32,23
2002;27,50;21,34;21,56;50,16;36,15;24,72;26,28;30,14
2003;24,57;17,67;22,59;50,16;36,23;23,33;23,43;28,75
2004;23,10;15,84;23,10;50,16;36,27;22,64;22,01;28,05
2005;23,10;15,84;23,10;50,16;36,27;22,64;22,01;28,05
2006;23,10;15,84;23,10;50,16;36,27;22,64;22,01;28,05
2007;23,10;15,84;23,10;50,16;36,27;22,64;22,01;28,05
2008;23,10;15,84;23,10;50,16;36,27;22,64;22,01;28,05
2009;23,10;15,84;23,10;50,16;36,27;22,64;22,01;28,05
2010;23,10;15,84;23,10;50,16;36,27;22,64;22,01;28,05
2011;23,10;15,84;23,10;50,16;36,27;22,64;22,01;28,05
2012;23,10;15,84;23,10;50,16;36,27;22,64;22,01;28,05
2013;23,10;15,84;23,10;50,16;36,27;22,64;22,01;28,05
2014;23,10;15,84;23,10;50,16;36,27;22,64;22,01;28,05
2015;23,10;15,84;23,10;50,16;36,27;22,64;22,01;28,05
Mittel;79,72;70,69;75,70;76,56;76,08;75,70;78,17;75,67