Year;EFH;EFH_Vert;RH;RH_Vert;MFH ;MFH_Vert;GMH;GMH_Vert;UrbAVG;UrbAVG_Vert;SubUrb_AVG;SubUrb_AVG_Vert;Rur_AVG;Rur_AVG_Vert;"Total_AVG
";Total_AVG_Vert
1900;1,46;1,68;0,78;0,78;2,60;2,65;2,60;2,65;2,45;2,51;1,80;1,89;1,41;1,59;1,86;1,94
1901;1,46;1,68;0,78;0,78;2,60;2,65;2,60;2,65;2,45;2,51;1,80;1,89;1,41;1,59;1,86;1,94
1902;1,46;1,68;0,78;0,78;2,60;2,65;2,60;2,65;2,45;2,51;1,80;1,89;1,41;1,59;1,86;1,94
1903;1,46;1,68;0,78;0,78;2,60;2,65;2,60;2,65;2,45;2,51;1,80;1,89;1,41;1,59;1,86;1,94
1904;1,46;1,68;0,78;0,78;2,60;2,65;2,60;2,65;2,45;2,51;1,80;1,89;1,41;1,59;1,86;1,94
1905;1,46;1,68;0,78;0,78;2,60;2,65;2,60;2,65;2,45;2,51;1,80;1,89;1,41;1,59;1,86;1,94
1906;1,46;1,68;0,78;0,78;2,60;2,65;2,60;2,65;2,45;2,51;1,80;1,89;1,41;1,59;1,86;1,94
1907;1,46;1,68;0,78;0,78;2,60;2,65;2,60;2,65;2,45;2,51;1,80;1,89;1,41;1,59;1,86;1,94
1908;1,46;1,68;0,78;0,78;2,60;2,65;2,60;2,65;2,45;2,51;1,80;1,89;1,41;1,59;1,86;1,94
1909;1,46;1,68;0,78;0,78;2,60;2,65;2,60;2,65;2,45;2,51;1,80;1,89;1,41;1,59;1,86;1,94
1910;1,46;1,68;0,78;0,78;2,60;2,65;2,60;2,65;2,45;2,51;1,80;1,89;1,41;1,59;1,86;1,94
1911;1,46;1,68;0,78;0,78;2,60;2,65;2,60;2,65;2,45;2,51;1,80;1,89;1,41;1,59;1,86;1,94
1912;1,46;1,68;0,78;0,78;2,60;2,65;2,60;2,65;2,45;2,51;1,80;1,89;1,41;1,59;1,86;1,94
1913;1,46;1,68;0,78;0,78;2,60;2,65;2,60;2,65;2,45;2,51;1,80;1,89;1,41;1,59;1,86;1,94
1914;1,46;1,68;0,78;0,78;2,60;2,65;2,60;2,65;2,45;2,51;1,80;1,89;1,41;1,59;1,86;1,94
1915;1,46;1,68;0,78;0,78;2,60;2,65;2,60;2,65;2,45;2,51;1,80;1,89;1,41;1,59;1,86;1,94
1916;1,46;1,68;0,78;0,78;2,60;2,65;2,60;2,65;2,45;2,51;1,80;1,89;1,41;1,59;1,86;1,94
1917;1,42;1,64;0,78;0,78;2,47;2,54;2,40;2,45;2,30;2,36;1,73;1,83;1,37;1,56;1,77;1,85
1918;1,34;1,57;0,78;0,78;2,20;2,32;1,99;2,03;1,98;2,06;1,58;1,69;1,30;1,49;1,58;1,67
1919;1,23;1,46;0,78;0,78;1,81;1,98;1,39;1,40;1,52;1,61;1,35;1,50;1,19;1,38;1,30;1,41
1920;1,15;1,38;0,78;0,78;1,54;1,76;0,98;0,99;1,20;1,31;1,21;1,36;1,11;1,31;1,11;1,23
1921;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1922;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1923;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1924;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1925;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1926;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1927;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1928;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1929;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1930;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1931;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1932;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1933;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1934;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1935;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1936;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1937;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1938;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1939;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1940;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1941;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1942;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1943;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1944;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1945;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1946;1,11;1,35;0,78;0,78;1,41;1,65;0,78;0,78;1,05;1,16;1,13;1,30;1,08;1,28;1,02;1,14
1947;1,11;1,35;0,78;0,78;1,38;1,61;0,92;0,92;1,11;1,21;1,13;1,29;1,07;1,28;1,05;1,17
1948;1,11;1,35;0,78;0,78;1,33;1,52;1,21;1,21;1,23;1,32;1,12;1,27;1,07;1,27;1,11;1,22
1949;1,11;1,35;0,78;0,78;1,24;1,40;1,65;1,65;1,41;1,49;1,11;1,24;1,07;1,27;1,19;1,29
1950;1,11;1,35;0,78;0,78;1,18;1,32;1,94;1,94;1,54;1,60;1,10;1,22;1,06;1,26;1,25;1,35
1951;1,11;1,35;0,78;0,78;1,16;1,27;2,08;2,08;1,60;1,66;1,09;1,21;1,06;1,26;1,28;1,37
1952;1,11;1,35;0,78;0,78;1,16;1,27;2,08;2,08;1,60;1,66;1,09;1,21;1,06;1,26;1,28;1,37
1953;1,11;1,35;0,78;0,78;1,16;1,27;2,08;2,08;1,60;1,66;1,09;1,21;1,06;1,26;1,28;1,37
1954;1,11;1,35;0,78;0,78;1,16;1,27;2,08;2,08;1,60;1,66;1,09;1,21;1,06;1,26;1,28;1,37
1955;1,11;1,35;0,78;0,78;1,16;1,27;2,08;2,08;1,60;1,66;1,09;1,21;1,06;1,26;1,28;1,37
1956;1,09;1,33;0,83;0,83;1,22;1,32;1,93;1,93;1,55;1,60;1,12;1,23;1,06;1,25;1,27;1,35
1957;1,05;1,28;0,93;0,93;1,34;1,42;1,64;1,64;1,45;1,50;1,17;1,27;1,04;1,24;1,24;1,32
1958;0,98;1,21;1,08;1,08;1,53;1,57;1,19;1,19;1,31;1,34;1,24;1,32;1,03;1,21;1,20;1,26
1959;0,94;1,17;1,18;1,18;1,66;1,67;0,90;0,90;1,22;1,23;1,29;1,36;1,01;1,19;1,17;1,23
1960;0,92;1,15;1,23;1,23;1,72;1,72;0,75;0,75;1,17;1,18;1,31;1,38;1,01;1,19;1,16;1,21
1961;0,92;1,15;1,23;1,23;1,72;1,72;0,75;0,75;1,17;1,18;1,31;1,38;1,01;1,19;1,16;1,21
1962;0,92;1,15;1,23;1,23;1,72;1,72;0,75;0,75;1,17;1,18;1,31;1,38;1,01;1,19;1,16;1,21
1963;0,92;1,15;1,23;1,23;1,72;1,72;0,75;0,75;1,17;1,18;1,31;1,38;1,01;1,19;1,16;1,21
1964;0,92;1,15;1,23;1,23;1,72;1,72;0,75;0,75;1,17;1,18;1,31;1,38;1,01;1,19;1,16;1,21
1965;0,92;1,15;1,23;1,23;1,72;1,72;0,75;0,75;1,17;1,18;1,31;1,38;1,01;1,19;1,16;1,21
1966;0,92;1,15;1,23;1,23;1,72;1,72;0,75;0,75;1,17;1,18;1,31;1,38;1,01;1,19;1,16;1,21
1967;0,88;1,09;1,15;1,15;1,59;1,59;0,76;0,76;1,12;1,13;1,23;1,29;0,96;1,13;1,10;1,15
1968;0,81;0,98;0,99;0,99;1,34;1,34;0,77;0,77;1,01;1,02;1,07;1,12;0,86;1,00;0,98;1,02
1969;0,69;0,82;0,76;0,76;0,97;0,97;0,80;0,80;0,86;0,86;0,82;0,86;0,71;0,82;0,80;0,83
1970;0,61;0,71;0,60;0,60;0,72;0,72;0,81;0,81;0,75;0,76;0,66;0,69;0,62;0,69;0,69;0,71
1971;0,58;0,66;0,52;0,52;0,59;0,59;0,82;0,82;0,70;0,70;0,58;0,60;0,57;0,63;0,63;0,65
1972;0,58;0,66;0,52;0,52;0,59;0,59;0,82;0,82;0,70;0,70;0,58;0,60;0,57;0,63;0,63;0,65
1973;0,58;0,66;0,52;0,52;0,59;0,59;0,82;0,82;0,70;0,70;0,58;0,60;0,57;0,63;0,63;0,65
1974;0,58;0,66;0,52;0,52;0,59;0,59;0,82;0,82;0,70;0,70;0,58;0,60;0,57;0,63;0,63;0,65
1975;0,58;0,66;0,52;0,52;0,59;0,59;0,82;0,82;0,70;0,70;0,58;0,60;0,57;0,63;0,63;0,65
1976;0,58;0,66;0,52;0,52;0,59;0,59;0,82;0,82;0,70;0,70;0,58;0,60;0,57;0,63;0,63;0,65
1977;0,56;0,65;0,51;0,53;0,57;0,57;0,82;0,82;0,69;0,70;0,57;0,60;0,55;0,63;0,62;0,64
1978;0,53;0,63;0,49;0,54;0,54;0,54;0,82;0,82;0,68;0,69;0,54;0,58;0,52;0,61;0,59;0,63
1979;0,48;0,60;0,46;0,55;0,49;0,49;0,82;0,82;0,65;0,67;0,50;0,56;0,48;0,59;0,56;0,62
1980;0,45;0,58;0,44;0,57;0,46;0,46;0,82;0,82;0,64;0,65;0,47;0,54;0,45;0,57;0,54;0,61
1981;0,43;0,57;0,43;0,57;0,44;0,44;0,83;0,83;0,63;0,65;0,45;0,53;0,43;0,57;0,53;0,60
1982;0,42;0,55;0,42;0,55;0,42;0,42;0,83;0,83;0,62;0,64;0,44;0,52;0,42;0,55;0,52;0,59
1983;0,39;0,52;0,39;0,52;0,39;0,39;0,83;0,83;0,61;0,62;0,41;0,48;0,39;0,51;0,50;0,56
1984;0,34;0,46;0,34;0,46;0,35;0,35;0,84;0,84;0,59;0,60;0,37;0,43;0,34;0,46;0,47;0,53
1985;0,31;0,42;0,31;0,42;0,32;0,32;0,84;0,84;0,58;0,59;0,34;0,40;0,31;0,42;0,45;0,50
1986;0,30;0,41;0,30;0,41;0,30;0,30;0,84;0,84;0,57;0,58;0,33;0,39;0,30;0,40;0,44;0,49
1987;0,30;0,41;0,30;0,41;0,30;0,30;0,84;0,84;0,57;0,58;0,33;0,39;0,30;0,40;0,44;0,49
1988;0,30;0,41;0,30;0,41;0,30;0,30;0,84;0,84;0,57;0,58;0,33;0,39;0,30;0,40;0,44;0,49
1989;0,30;0,41;0,30;0,41;0,30;0,30;0,84;0,84;0,57;0,58;0,33;0,39;0,30;0,40;0,44;0,49
1990;0,30;0,41;0,30;0,41;0,30;0,30;0,84;0,84;0,57;0,58;0,33;0,39;0,30;0,40;0,44;0,49
1991;0,30;0,41;0,30;0,41;0,30;0,30;0,84;0,84;0,57;0,58;0,33;0,39;0,30;0,40;0,44;0,49
1992;0,30;0,41;0,30;0,41;0,30;0,30;0,84;0,84;0,57;0,58;0,33;0,39;0,30;0,40;0,44;0,49
1993;0,29;0,39;0,29;0,39;0,29;0,29;0,84;0,84;0,57;0,58;0,32;0,38;0,29;0,39;0,43;0,48
1994;0,27;0,37;0,27;0,37;0,27;0,27;0,84;0,84;0,56;0,57;0,30;0,35;0,27;0,37;0,41;0,46
1995;0,25;0,34;0,25;0,34;0,24;0,24;0,84;0,84;0,54;0,55;0,27;0,32;0,25;0,33;0,39;0,44
1996;0,23;0,31;0,23;0,31;0,22;0,22;0,84;0,84;0,53;0,54;0,26;0,30;0,23;0,31;0,38;0,42
1997;0,22;0,30;0,22;0,30;0,21;0,21;0,84;0,84;0,53;0,53;0,25;0,29;0,22;0,30;0,37;0,41
1998;0,22;0,30;0,22;0,30;0,21;0,21;0,84;0,84;0,53;0,53;0,25;0,29;0,22;0,30;0,37;0,41
1999;0,22;0,30;0,22;0,30;0,21;0,21;0,84;0,84;0,53;0,53;0,25;0,29;0,22;0,30;0,37;0,41
2000;0,22;0,30;0,21;0,29;0,21;0,22;0,84;0,84;0,53;0,54;0,25;0,29;0,22;0,30;0,37;0,41
2001;0,22;0,30;0,19;0,27;0,21;0,24;0,84;0,84;0,53;0,54;0,24;0,29;0,22;0,29;0,37;0,41
2002;0,22;0,30;0,17;0,23;0,22;0,27;0,84;0,84;0,53;0,55;0,24;0,30;0,21;0,29;0,36;0,41
2003;0,22;0,30;0,15;0,21;0,22;0,29;0,84;0,84;0,53;0,56;0,23;0,30;0,21;0,29;0,36;0,41
2004;0,22;0,30;0,14;0,19;0,22;0,30;0,84;0,84;0,53;0,57;0,23;0,30;0,21;0,29;0,36;0,41
2005;0,22;0,30;0,14;0,19;0,22;0,30;0,84;0,84;0,53;0,57;0,23;0,30;0,21;0,29;0,36;0,41
2006;0,22;0,30;0,14;0,19;0,22;0,30;0,84;0,84;0,53;0,57;0,23;0,30;0,21;0,29;0,36;0,41
2007;0,22;0,30;0,14;0,19;0,22;0,30;0,84;0,84;0,53;0,57;0,23;0,30;0,21;0,29;0,36;0,41
2008;0,22;0,30;0,14;0,19;0,22;0,30;0,84;0,84;0,53;0,57;0,23;0,30;0,21;0,29;0,36;0,41
2009;0,22;0,30;0,14;0,19;0,22;0,30;0,84;0,84;0,53;0,57;0,23;0,30;0,21;0,29;0,36;0,41
2010;0,22;0,30;0,14;0,19;0,22;0,30;0,84;0,84;0,53;0,57;0,23;0,30;0,21;0,29;0,36;0,41
2011;0,22;0,30;0,14;0,19;0,22;0,30;0,84;0,84;0,53;0,57;0,23;0,30;0,21;0,29;0,36;0,41
2012;0,22;0,30;0,14;0,19;0,22;0,30;0,84;0,84;0,53;0,57;0,23;0,30;0,21;0,29;0,36;0,41
2013;0,22;0,30;0,14;0,19;0,22;0,30;0,84;0,84;0,53;0,57;0,23;0,30;0,21;0,29;0,36;0,41
2014;0,22;0,30;0,14;0,19;0,22;0,30;0,84;0,84;0,53;0,57;0,23;0,30;0,21;0,29;0,36;0,41
2015;0,22;0,30;0,14;0,19;0,22;0,30;0,84;0,84;0,53;0,57;0,23;0,30;0,21;0,29;0,36;0,41
Mittel;0,84;1,01;0,63;0,66;1,18;1,27;1,20;1,21;1,14;1,20;0,94;1,04;0,82;0,97;0,96;1,04