Year;Base;Wall;Roof;Roof (Vert;Average;Average (Vert) 
1900;1,28;1,57;2,45;2,51;1,67;1,68
1901;1,28;1,57;2,45;2,51;1,67;1,68
1902;1,28;1,57;2,45;2,51;1,67;1,68
1903;1,28;1,57;2,45;2,51;1,67;1,68
1904;1,28;1,57;2,45;2,51;1,67;1,68
1905;1,28;1,57;2,45;2,51;1,67;1,68
1906;1,28;1,57;2,45;2,51;1,67;1,68
1907;1,28;1,57;2,45;2,51;1,67;1,68
1908;1,28;1,57;2,45;2,51;1,67;1,68
1909;1,28;1,57;2,45;2,51;1,67;1,68
1910;1,28;1,57;2,45;2,51;1,67;1,68
1911;1,28;1,57;2,45;2,51;1,67;1,68
1912;1,28;1,57;2,45;2,51;1,67;1,68
1913;1,28;1,57;2,45;2,51;1,67;1,68
1914;1,28;1,57;2,45;2,51;1,67;1,68
1915;1,28;1,57;2,45;2,51;1,67;1,68
1916;1,28;1,57;2,45;2,51;1,67;1,68
1917;1,26;1,57;2,30;2,36;1,64;1,65
1918;1,22;1,56;1,98;2,06;1,57;1,59
1919;1,17;1,55;1,52;1,61;1,48;1,49
1920;1,14;1,54;1,20;1,31;1,42;1,43
1921;1,12;1,54;1,05;1,16;1,39;1,40
1922;1,12;1,54;1,05;1,16;1,39;1,40
1923;1,12;1,54;1,05;1,16;1,39;1,40
1924;1,12;1,54;1,05;1,16;1,39;1,40
1925;1,12;1,54;1,05;1,16;1,39;1,40
1926;1,12;1,54;1,05;1,16;1,39;1,40
1927;1,12;1,54;1,05;1,16;1,39;1,40
1928;1,12;1,54;1,05;1,16;1,39;1,40
1929;1,12;1,54;1,05;1,16;1,39;1,40
1930;1,12;1,54;1,05;1,16;1,39;1,40
1931;1,12;1,54;1,05;1,16;1,39;1,40
1932;1,12;1,54;1,05;1,16;1,39;1,40
1933;1,12;1,54;1,05;1,16;1,39;1,40
1934;1,12;1,54;1,05;1,16;1,39;1,40
1935;1,12;1,54;1,05;1,16;1,39;1,40
1936;1,12;1,54;1,05;1,16;1,39;1,40
1937;1,12;1,54;1,05;1,16;1,39;1,40
1938;1,12;1,54;1,05;1,16;1,39;1,40
1939;1,12;1,54;1,05;1,16;1,39;1,40
1940;1,12;1,54;1,05;1,16;1,39;1,40
1941;1,12;1,54;1,05;1,16;1,39;1,40
1942;1,12;1,54;1,05;1,16;1,39;1,40
1943;1,12;1,54;1,05;1,16;1,39;1,40
1944;1,12;1,54;1,05;1,16;1,39;1,40
1945;1,12;1,54;1,05;1,16;1,39;1,40
1946;1,12;1,54;1,05;1,16;1,39;1,40
1947;1,15;1,50;1,11;1,21;1,38;1,40
1948;1,22;1,44;1,23;1,32;1,37;1,38
1949;1,31;1,34;1,41;1,49;1,35;1,36
1950;1,38;1,27;1,54;1,60;1,33;1,34
1951;1,41;1,24;1,60;1,66;1,33;1,34
1952;1,41;1,24;1,60;1,66;1,33;1,34
1953;1,41;1,24;1,60;1,66;1,33;1,34
1954;1,41;1,24;1,60;1,66;1,33;1,34
1955;1,41;1,24;1,60;1,66;1,33;1,34
1956;1,36;1,24;1,55;1,60;1,31;1,32
1957;1,25;1,25;1,45;1,50;1,29;1,29
1958;1,10;1,27;1,31;1,34;1,25;1,25
1959;1,00;1,28;1,22;1,23;1,22;1,22
1960;0,95;1,28;1,17;1,18;1,21;1,21
1961;0,95;1,28;1,17;1,18;1,21;1,21
1962;0,95;1,28;1,17;1,18;1,21;1,21
1963;0,95;1,28;1,17;1,18;1,21;1,21
1964;0,95;1,28;1,17;1,18;1,21;1,21
1965;0,95;1,28;1,17;1,18;1,21;1,21
1966;0,95;1,28;1,17;1,18;1,21;1,21
1967;0,95;1,24;1,12;1,13;1,17;1,17
1968;0,95;1,15;1,01;1,02;1,09;1,10
1969;0,95;1,02;0,86;0,86;0,98;0,98
1970;0,94;0,94;0,75;0,76;0,91;0,91
1971;0,94;0,90;0,70;0,70;0,87;0,87
1972;0,94;0,90;0,70;0,70;0,87;0,87
1973;0,94;0,90;0,70;0,70;0,87;0,87
1974;0,94;0,90;0,70;0,70;0,87;0,87
1975;0,94;0,90;0,70;0,70;0,87;0,87
1976;0,94;0,90;0,70;0,70;0,87;0,87
1977;0,93;0,89;0,69;0,70;0,86;0,87
1978;0,90;0,88;0,68;0,69;0,85;0,85
1979;0,85;0,87;0,65;0,67;0,83;0,83
1980;0,82;0,87;0,64;0,65;0,82;0,82
1981;0,81;0,86;0,63;0,65;0,81;0,82
1982;0,80;0,85;0,62;0,64;0,80;0,80
1983;0,77;0,81;0,61;0,62;0,77;0,77
1984;0,74;0,76;0,59;0,60;0,73;0,73
1985;0,71;0,73;0,58;0,59;0,70;0,71
1986;0,70;0,72;0,57;0,58;0,69;0,69
1987;0,70;0,72;0,57;0,58;0,69;0,69
1988;0,70;0,72;0,57;0,58;0,69;0,69
1989;0,70;0,72;0,57;0,58;0,69;0,69
1990;0,70;0,72;0,57;0,58;0,69;0,69
1991;0,70;0,72;0,57;0,58;0,69;0,69
1992;0,70;0,72;0,57;0,58;0,69;0,69
1993;0,69;0,70;0,57;0,58;0,67;0,68
1994;0,66;0,66;0,56;0,57;0,64;0,64
1995;0,63;0,60;0,54;0,55;0,60;0,60
1996;0,61;0,56;0,53;0,54;0,56;0,57
1997;0,59;0,54;0,53;0,53;0,55;0,55
1998;0,59;0,54;0,53;0,53;0,55;0,55
1999;0,59;0,54;0,53;0,53;0,55;0,55
2000;0,59;0,54;0,53;0,54;0,55;0,55
2001;0,59;0,55;0,53;0,54;0,55;0,55
2002;0,60;0,55;0,53;0,55;0,55;0,56
2003;0,60;0,55;0,53;0,56;0,55;0,56
2004;0,60;0,55;0,53;0,57;0,55;0,56
2005;0,60;0,55;0,53;0,57;0,55;0,56
2006;0,60;0,55;0,53;0,57;0,55;0,56
2007;0,60;0,55;0,53;0,57;0,55;0,56
2008;0,60;0,55;0,53;0,57;0,55;0,56
2009;0,60;0,55;0,53;0,57;0,55;0,56
2010;0,60;0,55;0,53;0,57;0,55;0,56
2011;0,60;0,55;0,53;0,57;0,55;0,56
2012;0,60;0,55;0,53;0,57;0,55;0,56
2013;0,60;0,55;0,53;0,57;0,55;0,56
2014;0,60;0,55;0,53;0,57;0,55;0,56
2015;0,60;0,55;0,53;0,57;0,55;0,56
AVG over Time;0,99;1,15;1,14;1,20;1,12;1,13